step,id,x,y,active,λ,G,Yp
1,1,1566.6558923323814,-139.00277330916333,true,0.13,0.0,0.014835738939808647
1,2,1726.594712538159,1142.9402745083007,true,0.13,0.0,0.014835738939808647
1,3,-259.68455034798444,-102.8094902434957,true,0.13,0.0,0.014835738939808647
1,4,857.6663403774633,1064.7290270626154,true,0.13,0.0,0.014835738939808647
1,5,-1359.2133944372185,339.12948655817354,true,0.13,0.0,0.014835738939808647
1,6,-1460.7023960337826,465.21913604957535,true,0.13,0.0,0.014835738939808647
1,7,1763.2319315821783,-1201.3806830784213,true,0.13,0.0,0.014835738939808647
1,8,1687.5364626378173,-1859.9685136346557,true,0.13,0.0,0.014835738939808647
1,9,-1226.8817851342033,-762.4005196890807,true,0.13,0.0,0.014835738939808647
1,10,-1818.0356887902587,-1235.2989225029662,true,0.13,0.0,0.014835738939808647
1,11,-311.39067293169546,74.726403525553,true,0.13,0.0,0.014835738939808647
1,12,1194.1059133092658,-388.901018236965,true,0.13,0.0,0.014835738939808647
1,13,1190.125331599244,1669.8067046320316,true,0.13,0.0,0.014835738939808647
1,14,-255.9837155277437,-1143.912518951708,true,0.13,0.0,0.014835738939808647
1,15,-1901.8379150688106,607.2602374531943,true,0.13,0.0,0.014835738939808647
1,16,325.16539278499295,794.2320466119272,true,0.13,0.0,0.014835738939808647
1,17,227.38361484835968,527.2655381096256,true,0.13,0.0,0.014835738939808647
1,18,-1990.7409613730329,723.0931051331258,false,0.13,0.0,0.014835738939808647
1,19,-1215.784663667339,-672.2957788029676,false,0.13,0.0,0.014835738939808647
1,20,-266.0584956721066,-722.977608591438,true,0.13,0.0,0.014835738939808647
2,1,1568.2782216447354,-140.17240897990757,true,0.13,19.803163552187083,9.890980385356468e-5
2,2,1727.3139053693226,1144.8064903778086,true,0.13,19.803163552187083,9.890980385356468e-5
2,3,-257.98127099200633,-103.8577456682366,true,0.13,19.803163552187083,9.890980385356468e-5
2,4,856.3005479622274,1063.2679962352595,true,0.13,19.803163552187083,9.890980385356468e-5
2,5,-1357.284708251598,338.60017606574326,true,0.13,19.803163552187083,9.890980385356468e-5
2,6,-1462.2202187624705,466.5215239197118,true,0.13,19.803163552187083,9.890980385356468e-5
2,7,1762.1700590500698,-1199.6858595697474,true,0.13,19.803163552187083,9.890980385356468e-5
2,8,1688.2023510730105,-1858.0826205857593,true,0.13,19.803163552187083,9.890980385356468e-5
2,9,-1228.180616198684,-763.9213871606048,true,0.13,19.803163552187083,9.890980385356468e-5
2,10,-1816.8938519680896,-1236.9409361056926,true,0.13,19.803163552187083,9.890980385356468e-5
2,11,-309.8867372145051,76.0448030699094,true,0.13,19.803163552187083,9.890980385356468e-5
2,12,1192.2123713929698,-388.2572022607497,true,0.13,19.803163552187083,9.890980385356468e-5
2,13,1189.0619084256928,1668.1128536486349,true,0.13,19.803163552187083,9.890980385356468e-5
2,14,-253.99205096599428,-1143.7301120618397,true,0.13,19.803163552187083,9.890980385356468e-5
2,15,-1901.8913047415178,605.2609501944823,true,0.13,19.803163552187083,9.890980385356468e-5
2,16,327.060108225735,794.8724007316248,true,0.13,19.803163552187083,9.890980385356468e-5
2,17,228.92933203328653,528.534694673735,true,0.13,19.803163552187083,9.890980385356468e-5
2,18,-1990.7409613730329,723.0931051331258,false,0.13,19.803163552187083,9.890980385356468e-5
2,19,-1215.784663667339,-672.2957788029676,false,0.13,19.803163552187083,9.890980385356468e-5
2,20,-264.06676185754304,-722.7959594463141,true,0.13,19.803163552187083,9.890980385356468e-5
3,1,1569.7302113340832,-141.54780926419863,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,2,1727.4149483128638,1146.803936327906,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,3,-256.5987534057073,-105.30296022793837,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,4,854.8181663289282,1061.925407432514,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,5,-1355.376912644698,337.9999128548987,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,6,-1463.9294306446643,467.5600780789965,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,7,1760.9389849863053,-1198.109643642431,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,8,1688.454287049058,-1856.0985519720332,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,9,-1229.3228275501676,-765.5631402567011,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,10,-1815.7382314285487,-1238.5732783395981,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,11,-308.3312927702174,77.30201927276971,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,12,1190.3037954751494,-387.65942473865994,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,13,1188.1324928113831,1666.341925469437,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,14,-252.000292485912,-1143.5487335707767,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,15,-1901.9582432283883,603.2620706986208,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,16,328.91662074327456,795.6162832977728,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,17,230.56912598539375,529.6797168545824,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
3,18,-1990.7409613730329,723.0931051331258,true,5.180217649684033e7,19.998681246094517,0.00010260820464682538
3,19,-1215.784663667339,-672.2957788029676,true,5.180217649684033e7,19.998681246094517,0.00010260820464682538
3,20,-262.0976545014965,-722.4457934565845,true,3.262411184794681e-10,19.998681246094517,0.00010260820464682538
4,1,1571.13390028406,-142.97246969100678,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,2,1727.3445616131003,1148.8026973722774,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,3,-254.9778742095095,-106.47460464128788,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,4,853.1596657940303,1060.8076525507338,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,5,-1353.435466181595,337.5195113239839,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,6,-1465.556238733487,468.7234763092432,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,7,1759.7312004203902,-1196.5155117650954,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,8,1689.0285513980737,-1854.1827700279046,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,9,-1230.5797642717605,-767.1188105552899,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,10,-1814.6009966035595,-1240.2184825679028,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
4,11,-306.7560706757213,78.53436474097713,true,2.6830356408757595e-10,19.99863193739619,0.00010635229742517882
