step,id,x,y,active,λ,G,P,M,Yp,methyl
1,1,1401.6160421713744,741.341186474589,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,2,-1602.378944641791,588.6168484224409,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,3,-1237.2428982258236,-1569.0208053110464,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,4,1472.010207540568,1376.5149311707537,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,5,849.6477004418589,-85.92766496900549,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,6,300.3289794080697,-1665.2289740870347,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,7,1739.222772193681,-1255.2701409194444,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,8,-958.7537838790024,-1608.762037052566,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,9,-1254.7294719045797,1155.0944899369633,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,10,-1697.760347124004,487.1945572970658,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,11,1066.6486937492546,716.0735204369357,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,12,-1268.6930016174615,807.7134124728718,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,13,1650.2925296806593,-705.7520853259725,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,14,-727.526811714971,-1009.3986868542192,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,15,1748.8136976906594,-1505.5610280391081,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,16,-1008.2382421050622,627.5202411228456,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,17,394.6595909830021,-279.27231070464927,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,18,-1893.5578299433798,-251.0442217909649,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,19,881.7029494485173,-94.3551667064221,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
1,20,-1721.5264350133523,-798.8670120073489,false,0.13,0.0,0.0,0.0,0.014835738939808647,0.020000000000000004
2,1,1401.6160421713744,741.341186474589,true,0.13,19.803163552187083,0.012915864979712421,0.020628503423943262,0.0001676636431779954,0.054950940781093124
2,2,-1602.378944641791,588.6168484224409,true,0.13,19.803163552187083,0.012915864979712421,0.020628503423943262,0.0001676636431779954,0.054950940781093124
