step,id,x,y,active,λ,G,P,M,Yp,methyl
1,1,-3.155373726306209,-2.9058944711604298,false,0.13,0.0,0.35459313151004856,0.10779107910508622,0.014835738939808647,0.02102284273146685
1,2,-15.497844256688676,-13.341050296076155,false,0.13,0.0,0.9696493588628741,0.03137300619569425,0.014835738939808647,0.02102284273146685
1,3,10.034738128164634,5.950486064560394,false,0.13,0.0,0.47847659741191007,0.4031086329817432,0.014835738939808647,0.02102284273146685
1,4,-14.409862132216485,-19.775238507936418,false,0.13,0.0,0.9390263169601522,0.034978936300324434,0.014835738939808647,0.02102284273146685
1,5,-16.226306820044698,5.105992640032468,false,0.13,0.0,0.9316649253218015,0.02916885678213356,0.014835738939808647,0.02102284273146685
1,6,7.820657307357099,6.012176821742518,false,0.13,0.0,0.1815801891002381,0.323047058412332,0.014835738939808647,0.02102284273146685
1,7,19.934353183233014,-5.178923560055075,false,0.13,0.0,0.5915321794435295,1.0848180888557843,0.014835738939808647,0.02102284273146685
1,8,-18.47771087792551,-3.1540178296917887,false,0.13,0.0,0.8001443421015386,0.02328853514850898,0.014835738939808647,0.02102284273146685
1,9,-8.161666528617499,-19.583597804057902,false,0.13,0.0,0.7852179433924912,0.06533746580583748,0.014835738939808647,0.02102284273146685
1,10,-14.65165475547471,-18.10048732191953,false,0.13,0.0,0.8162551016720017,0.03414331449394129,0.014835738939808647,0.02102284273146685
1,11,4.041993413429541,-17.01660780300809,false,0.13,0.0,0.5857872035412566,0.22139127582129217,0.014835738939808647,0.02102284273146685
1,12,-13.391987417543593,-3.824858494857189,false,0.13,0.0,0.044641306574911055,0.038726864479242465,0.014835738939808647,0.02102284273146685
1,13,4.1033600217928665,-2.1439111590537543,false,0.13,0.0,0.8781798715816488,0.22275405617685057,0.014835738939808647,0.02102284273146685
1,14,12.363855354856284,-7.600375895291883,false,0.13,0.0,0.5411708098034596,0.5088319521238125,0.014835738939808647,0.02102284273146685
1,15,-10.421706746368788,17.68681209914965,false,0.13,0.0,0.7540756659408733,0.05212066957224447,0.014835738939808647,0.02102284273146685
1,16,-4.9070276335930085,-11.948443075602086,false,0.13,0.0,0.5405989963222418,0.09047101382670794,0.014835738939808647,0.02102284273146685
