step,id,x,y,active,λ,G,P,M,Yp
1,1,-1280.2521662810484,754.7601790941831,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,2,144.3454392355079,1101.2355523357974,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,3,-1432.0318849955713,1276.395172657045,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,4,1208.4746120330533,-1738.2245598395705,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,5,-710.0608418925037,1099.7361286716932,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,6,-652.9449783234913,-1191.6575107234612,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,7,-850.9287097254035,-1504.2294571693837,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,8,895.2016710782759,-758.4239498794436,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,9,-1905.6583007849408,1188.7837811689474,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,10,595.2954068929939,-177.62390772358617,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,11,1499.6332775473074,-54.64205681743192,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,12,1914.828674578449,-1635.9046620145152,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,13,-588.4149021814817,-1006.5407764521641,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,14,926.8612524837222,845.7900525880436,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,15,848.1037869573161,-1914.2543566965933,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,16,1432.5263759101254,-1492.1166785696337,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,17,641.2662902012394,-1028.8797924133441,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,18,1223.5999381662991,-704.9445680898714,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,19,-1809.228270087298,-384.241107323254,false,0.13,0.0,0.0,0.0,0.014835738939808647
1,20,1795.1824546602775,-406.0163198951425,false,0.13,0.0,0.0,0.0,0.014835738939808647
2,1,-1280.2521662810484,754.7601790941831,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,2,144.3454392355079,1101.2355523357974,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,3,-1432.0318849955713,1276.395172657045,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,4,1208.4746120330533,-1738.2245598395705,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,5,-710.0608418925037,1099.7361286716932,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,6,-652.9449783234913,-1191.6575107234612,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,7,-850.9287097254035,-1504.2294571693837,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,8,895.2016710782759,-758.4239498794436,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,9,-1905.6583007849408,1188.7837811689474,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,10,595.2954068929939,-177.62390772358617,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,11,1499.6332775473074,-54.64205681743192,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,12,1914.828674578449,-1635.9046620145152,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,13,-588.4149021814817,-1006.5407764521641,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,14,926.8612524837222,845.7900525880436,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,15,848.1037869573161,-1914.2543566965933,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,16,1432.5263759101254,-1492.1166785696337,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,17,641.2662902012394,-1028.8797924133441,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,18,1223.5999381662991,-704.9445680898714,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,19,-1809.228270087298,-384.241107323254,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
2,20,1795.1824546602775,-406.0163198951425,true,0.13,19.803163552187083,0.012915864979712421,0.030490623586653175,4.39717260232572e-5
3,1,-1278.5909589492765,753.6464510300367,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,2,145.18965971315956,1103.0486413532242,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,3,-1431.2632605199196,1274.5487663053907,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,4,1208.7366397929993,-1740.2073209076314,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,5,-708.3088603012161,1100.700784311696,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,6,-651.1594280012398,-1192.5585157438177,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,7,-848.9568573194964,-1504.5638193821392,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,8,893.4349524017885,-757.4865571559012,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,9,-1907.545762253971,1189.4452108348428,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,10,597.2889389217402,-177.46319042407208,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,11,1501.278813151922,-53.50530153420409,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,12,1912.9205307589475,-1636.503817390105,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,13,-587.9125191989722,-1008.4766512773749,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,14,925.0590304461433,846.6572294600052,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,15,847.1451661766041,-1916.009647612307,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,16,1432.0570571850599,-1490.1725232429421,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,17,641.4353005724381,-1026.886946334384,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,18,1221.793371848756,-704.0864782692124,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,19,-1807.3703587412135,-384.98148927204215,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
3,20,1794.5594830917487,-407.9168215196629,true,3.262411184794681e-10,19.999413718912955,0.012915864979712421,0.030490623586653175,4.573934775192047e-5
4,1,-1276.9254507015446,752.5391650341271,true,2.68107110976857e-10,19.999390151328,3.262412562321515e-11,0.030490623586653175,4.757177555107232e-5
